0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs,Expected Annual Costs,Scenario
0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,12456542.50001338,77039977.40982035,357700000.0,0.0,0.0128227621340438,434739977.4098203,12456542.50001338,Medium_2
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2212195.0264818347,71616812.80210674,419100000.0,0.0,0.0022623111730983,490716812.80210674,2212195.0264818347,Medium_2
0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,2269049.6192317875,82064261.30142266,357700000.0,0.0,0.0023749404860414,439764261.30142266,2269049.6192317875,Medium_2
0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,4357087.277733419,99254427.47638312,297900000.0,0.0,0.0035853384613445,397154427.4763831,4357087.277733419,Medium_2
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,2,0,0,6280938.98710224,109642491.2690779,146000000.0,0.0,0.0048632094880517,255642491.2690779,6280938.98710224,Medium_2
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,16104244.884479092,92080733.16854674,297900000.0,0.0,0.0161839605053912,389980733.16854674,16104244.884479092,Medium_2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,16610085.461343275,102077191.49599408,115300000.0,0.0,0.0171860339329776,217377191.4959941,16610085.461343275,Medium_2
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,2173568.513799608,104278711.36798544,297900000.0,0.0,0.0013381631489357,402178711.3679854,2173568.513799608,Medium_2
0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,6878572.085178311,99254427.47638312,267200000.0,0.0,0.007082546616553,366454427.4763831,6878572.085178311,Medium_2
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,3,0,0,5,0,0,3,0,0,1,0,0,0.0,110131718.47649084,419100000.0,0.0,0.0,529231718.47649086,0.0,Medium_2
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,2,0,0,4057622.008243461,115158365.30618867,146000000.0,0.0,0.0025371936565826,261158365.30618867,4057622.008243461,Medium_2
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,1,0,0,2173568.513799608,115680825.58694406,236500000.0,0.0,0.0013381631489357,352180825.58694404,2173568.513799608,Medium_2
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,2,0,0,11018991.22496178,112705967.43131477,115300000.0,0.0,0.0098254339212035,228005967.43131477,11018991.22496178,Medium_2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,2,0,0,6337793.579852192,121545854.9384433,84600000.0,0.0,0.0049758388009948,206145854.9384433,6337793.579852192,Medium_2
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,16652238.84274863,80103453.57205722,327000000.0,0.0,0.0172695400519431,407103453.57205725,16652238.84274863,Medium_2
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,1,0,0,2173568.513799608,112617349.42470716,267200000.0,0.0,0.0013381631489357,379817349.4247072,2173568.513799608,Medium_2
1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,693532.0587804433,101678310.77988276,419100000.0,0.0,0.0004235175325173,520778310.7798828,693532.0587804433,Medium_2
