Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
2457967907.0218396,0,0.0,0.0,1.747346980443266
1906450629.1952467,0,0.0,0.0,1.6615495815245547
2596575988.0148644,0,0.0,0.0,1.6107588503163917
1969806577.8570926,0,0.0,0.0,1.650942360423056
580658851.3685943,0,0.0,0.0,0.5093468303900508
1050597035.5207118,0,0.0,0.0,1.2507407516085192
676727258.6311812,0,0.0,0.0,0.4550653309448554
285701210.80831945,0,0.0,0.0,0.2841508006596911
2345090553.3850946,0,0.0,0.0,1.649690031840975
197522427.24962828,0,0.0,0.0,0.17685099864778733
775714043.3176719,0,0.0,0.0,0.5668423434436305
1021115283.6601604,0,0.0,0.0,1.986206170461948
1901457494.4147618,0,0.0,0.0,1.8598500053942475
947126455.1308051,0,0.0,0.0,0.8864673249701602
2432462066.4653897,0,0.0,0.0,1.9821392029259175
1355869229.416127,0,0.0,0.0,3.158505537934681
955211184.1445448,0,0.0,0.0,0.7282777417377211
1310038871.5795345,0,0.0,0.0,1.2438128314799435
2638197189.5598474,0,0.0,0.0,3.1901407817572127
1178156667.3976932,0,0.0,0.0,1.9092405013387477
299344822.35407084,0,0.0,0.0,0.27916983910718834
2614975362.1958246,0,0.0,0.0,1.6574381941650573
325698603.9342655,0,0.0,0.0,0.3369266509472198
215411272.89020407,0,0.0,0.0,0.2877021496757086
1007602892.1209772,0,0.0,0.0,1.4352926898849887
3441100139.688127,0,0.0,0.0,2.022090683446168
2309038782.499119,0,0.0,0.0,1.6170404966550298
243367802.53637788,0,0.0,0.0,0.2854433893819907
589231922.7585198,0,0.0,0.0,0.4514432192865864
926081507.2794857,0,0.0,0.0,1.4125210232533028
1846583958.5109258,0,0.0,0.0,3.262144524912715
1012381944.3715117,0,0.0,0.0,0.9098912286927976
379540970.3275879,0,0.0,0.0,0.7756952424276427
1080430320.259846,0,0.0,0.0,1.1654642431789277
2098329835.7556548,0,0.0,0.0,3.145468181599316
1513194786.1557956,0,0.0,0.0,1.410904540899696
